city_code,wilaya,year,population
16,Algiers,1866,240643
17,Djelfa,1866,69906
18,Jijel,1866,67208
19,Sétif,1866,142238
20,Saïda,1866,33544
21,Skikda,1866,88280
22,Sidi Bel Abbès,1866,63319
23,Annaba,1866,64732
24,Guelma,1866,50383
25,Constantine,1866,94446
26,Médéa,1866,92776
27,Mostaganem,1866,71886
28,M'Sila,1866,86353
29,Mascara,1866,80254
30,Ouargla,1866,40882
31,Oran,1866,130715
32,El Bayadh,1866,22172
33,Illizi,1866,2808
34,Bordj Bou Arreridj,1866,61175
35,Boumerdès,1866,92241
36,El Tarf,1866,39476
37,Tindouf,1866,2329
38,Tissemsilt,1866,32446
39,El Oued,1866,54117
40,Khenchela,1866,34755
41,Souk Ahras,1866,42527
42,Tipaza,1866,87717
43,Mila,1866,72873
44,Aïn Defla,1866,76461
45,Naâma,1866,16093
46,Aïn Témouchent,1866,38708
47,Ghardaia,1866,30794
48,Relizane,1866,77724
1,Adrar,1867,31517
2,Chlef,1867,98753
3,Laghouat,1867,31263
4,Oum El Bouaghi,1867,58504
5,Batna,1867,109990
6,Béjaïa,1867,101361
7,Biskra,1867,62359
8,Béchar,1867,26717
9,Blida,1867,102348
10,Bouira,1867,76342
11,Tamanrasset,1867,13688
12,Tébessa,1867,59468
13,Tlemcen,1867,102783
14,Tiaret,1867,83508
15,Tizi Ouzou,1867,135334
16,Algiers,1867,245181
17,Djelfa,1867,71225
18,Jijel,1867,68476
19,Sétif,1867,144920
20,Saïda,1867,34177
21,Skikda,1867,89945
22,Sidi Bel Abbès,1867,64513
23,Annaba,1867,65952
24,Guelma,1867,51333
25,Constantine,1867,96227
26,Médéa,1867,94526
27,Mostaganem,1867,73242
28,M'Sila,1867,87982
29,Mascara,1867,81767
30,Ouargla,1867,41652
31,Oran,1867,133180
32,El Bayadh,1867,22591
33,Illizi,1867,2861
34,Bordj Bou Arreridj,1867,62329
35,Boumerdès,1867,93981
36,El Tarf,1867,40220
37,Tindouf,1867,2373
38,Tissemsilt,1867,33058
39,El Oued,1867,55137
40,Khenchela,1867,35411
41,Souk Ahras,1867,43329
42,Tipaza,1867,89371
43,Mila,1867,74248
44,Aïn Defla,1867,77903
45,Naâma,1867,16396
46,Aïn Témouchent,1867,39438
47,Ghardaia,1867,31375
48,Relizane,1867,79189
1,Adrar,1868,32100
2,Chlef,1868,100581
3,Laghouat,1868,31841
4,Oum El Bouaghi,1868,59587
5,Batna,1868,112025
6,Béjaïa,1868,103237
7,Biskra,1868,63513
8,Béchar,1868,27212
9,Blida,1868,104242
10,Bouira,1868,77754
11,Tamanrasset,1868,13942
12,Tébessa,1868,60568
13,Tlemcen,1868,104685
14,Tiaret,1868,85054
15,Tizi Ouzou,1868,137838
16,Algiers,1868,249719
17,Djelfa,1868,72543
18,Jijel,1868,69743
19,Sétif,1868,147602
20,Saïda,1868,34809
21,Skikda,1868,91610
22,Sidi Bel Abbès,1868,65707
23,Annaba,1868,67173
24,Guelma,1868,52283
25,Constantine,1868,98008
26,Médéa,1868,96275
27,Mostaganem,1868,74597
28,M'Sila,1868,89610
29,Mascara,1868,83281
30,Ouargla,1868,42423
31,Oran,1868,135645
32,El Bayadh,1868,23009
33,Illizi,1868,2914
34,Bordj Bou Arreridj,1868,63482
35,Boumerdès,1868,95720
36,El Tarf,1868,40964
37,Tindouf,1868,2417
38,Tissemsilt,1868,33670
39,El Oued,1868,56158
40,Khenchela,1868,36066
41,Souk Ahras,1868,44131
42,Tipaza,1868,91025
43,Mila,1868,75622
44,Aïn Defla,1868,79344
45,Naâma,1868,16700
46,Aïn Témouchent,1868,40168
47,Ghardaia,1868,31955
48,Relizane,1868,80655
1,Adrar,1869,32683
2,Chlef,1869,102408
3,Laghouat,1869,32420
4,Oum El Bouaghi,1869,60669
5,Batna,1869,114061
6,Béjaïa,1869,105113
7,Biskra,1869,64667
8,Béchar,1869,27706
9,Blida,1869,106137
10,Bouira,1869,79167
11,Tamanrasset,1869,14195
12,Tébessa,1869,61669
13,Tlemcen,1869,106587
14,Tiaret,1869,86599
15,Tizi Ouzou,1869,140343
16,Algiers,1869,254257
17,Djelfa,1869,73861
18,Jijel,1869,71010
19,Sétif,1869,150284
20,Saïda,1869,35442
21,Skikda,1869,93275
22,Sidi Bel Abbès,1869,66901
23,Annaba,1869,68394
24,Guelma,1869,53233
25,Constantine,1869,99789
26,Médéa,1869,98025
27,Mostaganem,1869,75953
28,M'Sila,1869,91238
29,Mascara,1869,84794
30,Ouargla,1869,43194
31,Oran,1869,138110
32,El Bayadh,1869,23427
33,Illizi,1869,2967
34,Bordj Bou Arreridj,1869,64636
35,Boumerdès,1869,97460
36,El Tarf,1869,41709
37,Tindouf,1869,2461
38,Tissemsilt,1869,34282
39,El Oued,1869,57178
40,Khenchela,1869,36721
41,Souk Ahras,1869,44933
42,Tipaza,1869,92679
43,Mila,1869,76996
44,Aïn Defla,1869,80786
45,Naâma,1869,17003
46,Aïn Témouchent,1869,40898
47,Ghardaia,1869,32536
48,Relizane,1869,82121
1,Adrar,1870,33267
2,Chlef,1870,104236
3,Laghouat,1870,32998
4,Oum El Bouaghi,1870,61752
5,Batna,1870,116097
6,Béjaïa,1870,106989
7,Biskra,1870,65821
8,Béchar,1870,28201
9,Blida,1870,108031
10,Bouira,1870,80580
11,Tamanrasset,1870,14448
12,Tébessa,1870,62770
13,Tlemcen,1870,108490
14,Tiaret,1870,88145
15,Tizi Ouzou,1870,142848
16,Algiers,1870,258795
17,Djelfa,1870,75179
18,Jijel,1870,72278
19,Sétif,1870,152966
20,Saïda,1870,36074
21,Skikda,1870,94939
22,Sidi Bel Abbès,1870,68095
23,Annaba,1870,69614
24,Guelma,1870,54184
25,Constantine,1870,101570
26,Médéa,1870,99775
27,Mostaganem,1870,77308
28,M'Sila,1870,92867
29,Mascara,1870,86308
30,Ouargla,1870,43965
31,Oran,1870,140575
32,El Bayadh,1870,23845
33,Illizi,1870,3020
34,Bordj Bou Arreridj,1870,65789
35,Boumerdès,1870,99199
36,El Tarf,1870,42453
37,Tindouf,1870,2505
38,Tissemsilt,1870,34894
39,El Oued,1870,58199
40,Khenchela,1870,37377
41,Souk Ahras,1870,45735
42,Tipaza,1870,94333
43,Mila,1870,78370
44,Aïn Defla,1870,82228
45,Naâma,1870,17307
46,Aïn Témouchent,1870,41628
47,Ghardaia,1870,33117
48,Relizane,1870,83586
1,Adrar,1871,33850
2,Chlef,1871,106064
3,Laghouat,1871,33577
4,Oum El Bouaghi,1871,62835
5,Batna,1871,118133
6,Béjaïa,1871,108865
7,Biskra,1871,66975
8,Béchar,1871,28695
9,Blida,1871,109925
10,Bouira,1871,81993
11,Tamanrasset,1871,14702
12,Tébessa,1871,63870
13,Tlemcen,1871,110392
14,Tiaret,1871,89690
15,Tizi Ouzou,1871,145353
16,Algiers,1871,263333
17,Djelfa,1871,76498
18,Jijel,1871,73545
19,Sétif,1871,155649
20,Saïda,1871,36707
21,Skikda,1871,96604
22,Sidi Bel Abbès,1871,69290
23,Annaba,1871,70835
24,Guelma,1871,55134
25,Constantine,1871,103351
26,Médéa,1871,101524
27,Mostaganem,1871,78664
28,M'Sila,1871,94495
29,Mascara,1871,87821
30,Ouargla,1871,44736
31,Oran,1871,143040
32,El Bayadh,1871,24263
33,Illizi,1871,3073
34,Bordj Bou Arreridj,1871,66943
35,Boumerdès,1871,100938
36,El Tarf,1871,43198
37,Tindouf,1871,2549
38,Tissemsilt,1871,35506
39,El Oued,1871,59219
40,Khenchela,1871,38032
41,Souk Ahras,1871,46537
42,Tipaza,1871,95987
43,Mila,1871,79744
44,Aïn Defla,1871,83670
45,Naâma,1871,17610
46,Aïn Témouchent,1871,42358
47,Ghardaia,1871,33698
48,Relizane,1871,85052
1,Adrar,1872,34433
2,Chlef,1872,107892
3,Laghouat,1872,34156
4,Oum El Bouaghi,1872,63918
5,Batna,1872,120168
6,Béjaïa,1872,110741
7,Biskra,1872,68130
8,Béchar,1872,29190
9,Blida,1872,111820
10,Bouira,1872,83406
11,Tamanrasset,1872,14955
12,Tébessa,1872,64971
13,Tlemcen,1872,112294
14,Tiaret,1872,91236
15,Tizi Ouzou,1872,147858
16,Algiers,1872,267871
17,Djelfa,1872,77816
18,Jijel,1872,74812
19,Sétif,1872,158331
20,Saïda,1872,37339
21,Skikda,1872,98269
22,Sidi Bel Abbès,1872,70484
23,Annaba,1872,72056
24,Guelma,1872,56084
25,Constantine,1872,105132
26,Médéa,1872,103274
27,Mostaganem,1872,80020
28,M'Sila,1872,96124
29,Mascara,1872,89334
30,Ouargla,1872,45507
31,Oran,1872,145505
32,El Bayadh,1872,24681
33,Illizi,1872,3126
34,Bordj Bou Arreridj,1872,68097
35,Boumerdès,1872,102678
36,El Tarf,1872,43942
37,Tindouf,1872,2593
38,Tissemsilt,1872,36117
39,El Oued,1872,60240
40,Khenchela,1872,38688
41,Souk Ahras,1872,47339
42,Tipaza,1872,97641
43,Mila,1872,81119
44,Aïn Defla,1872,85112
45,Naâma,1872,17914
46,Aïn Témouchent,1872,43088
47,Ghardaia,1872,34278
48,Relizane,1872,86518
1,Adrar,1873,35017
2,Chlef,1873,109720
3,Laghouat,1873,34734
4,Oum El Bouaghi,1873,65001
5,Batna,1873,122204
6,Béjaïa,1873,112617
7,Biskra,1873,69284
8,Béchar,1873,29684
9,Blida,1873,113714
10,Bouira,1873,84819
11,Tamanrasset,1873,15208
12,Tébessa,1873,66072
13,Tlemcen,1873,114197
14,Tiaret,1873,92782
15,Tizi Ouzou,1873,150363
16,Algiers,1873,272409
17,Djelfa,1873,79134
18,Jijel,1873,76080
19,Sétif,1873,161013
20,Saïda,1873,37972
21,Skikda,1873,99934
22,Sidi Bel Abbès,1873,71678
23,Annaba,1873,73276
24,Guelma,1873,57034
25,Constantine,1873,106913
26,Médéa,1873,105023
27,Mostaganem,1873,81375
28,M'Sila,1873,97752
29,Mascara,1873,90848
30,Ouargla,1873,46278
31,Oran,1873,147970
32,El Bayadh,1873,25099
33,Illizi,1873,3179
34,Bordj Bou Arreridj,1873,69250
35,Boumerdès,1873,104417
36,El Tarf,1873,44686
37,Tindouf,1873,2637
38,Tissemsilt,1873,36729
39,El Oued,1873,61260
40,Khenchela,1873,39343
41,Souk Ahras,1873,48141
42,Tipaza,1873,99295
43,Mila,1873,82493
44,Aïn Defla,1873,86554
45,Naâma,1873,18217
46,Aïn Témouchent,1873,43818
47,Ghardaia,1873,34859
48,Relizane,1873,87983
1,Adrar,1874,35600
2,Chlef,1874,111547
3,Laghouat,1874,35313
4,Oum El Bouaghi,1874,66083
5,Batna,1874,124240
6,Béjaïa,1874,114493
7,Biskra,1874,70438
8,Béchar,1874,30179
9,Blida,1874,115608
10,Bouira,1874,86232
11,Tamanrasset,1874,15462
12,Tébessa,1874,67172
13,Tlemcen,1874,116099
14,Tiaret,1874,94327
15,Tizi Ouzou,1874,152867
16,Algiers,1874,276947
17,Djelfa,1874,80452
18,Jijel,1874,77347
19,Sétif,1874,163695
20,Saïda,1874,38605
21,Skikda,1874,101598
22,Sidi Bel Abbès,1874,72872
23,Annaba,1874,74497
24,Guelma,1874,57984
25,Constantine,1874,108694
26,Médéa,1874,106773
27,Mostaganem,1874,82731
28,M'Sila,1874,99380
29,Mascara,1874,92361
30,Ouargla,1874,47049
31,Oran,1874,150435
32,El Bayadh,1874,25517
33,Illizi,1874,3232
34,Bordj Bou Arreridj,1874,70404
35,Boumerdès,1874,106157
36,El Tarf,1874,45431
37,Tindouf,1874,2681
38,Tissemsilt,1874,37341
39,El Oued,1874,62281
40,Khenchela,1874,39998
41,Souk Ahras,1874,48943
42,Tipaza,1874,100950
43,Mila,1874,83867
44,Aïn Defla,1874,87996
45,Naâma,1874,18521
46,Aïn Témouchent,1874,44548
47,Ghardaia,1874,35440
48,Relizane,1874,89449
1,Adrar,1875,36183
2,Chlef,1875,113375
3,Laghouat,1875,35892
4,Oum El Bouaghi,1875,67166
5,Batna,1875,126276
6,Béjaïa,1875,116369
7,Biskra,1875,71592
8,Béchar,1875,30673
9,Blida,1875,117502
10,Bouira,1875,87645
11,Tamanrasset,1875,15715
12,Tébessa,1875,68273
13,Tlemcen,1875,118001
14,Tiaret,1875,95873
15,Tizi Ouzou,1875,155372
16,Algiers,1875,281485
17,Djelfa,1875,81771
18,Jijel,1875,78615
19,Sétif,1875,166378
20,Saïda,1875,39237
21,Skikda,1875,103263
22,Sidi Bel Abbès,1875,74066
23,Annaba,1875,75718
24,Guelma,1875,58934
25,Constantine,1875,110475
26,Médéa,1875,108522
27,Mostaganem,1875,84086
28,M'Sila,1875,101009
29,Mascara,1875,93874
30,Ouargla,1875,47820
31,Oran,1875,152900
32,El Bayadh,1875,25936
33,Illizi,1875,3285
34,Bordj Bou Arreridj,1875,71557
35,Boumerdès,1875,107896
36,El Tarf,1875,46175
37,Tindouf,1875,2725
38,Tissemsilt,1875,37953
39,El Oued,1875,63301
40,Khenchela,1875,40654
41,Souk Ahras,1875,49745
42,Tipaza,1875,102604
43,Mila,1875,85241
44,Aïn Defla,1875,89438
45,Naâma,1875,18824
46,Aïn Témouchent,1875,45278
47,Ghardaia,1875,36020
48,Relizane,1875,90915
1,Adrar,1876,36767
2,Chlef,1876,115203
3,Laghouat,1876,36470
4,Oum El Bouaghi,1876,68249
5,Batna,1876,128311
6,Béjaïa,1876,118245
7,Biskra,1876,72746
8,Béchar,1876,31168
9,Blida,1876,119397
10,Bouira,1876,89058
11,Tamanrasset,1876,15968
12,Tébessa,1876,69373
13,Tlemcen,1876,119904
14,Tiaret,1876,97418
15,Tizi Ouzou,1876,157877
16,Algiers,1876,286022
17,Djelfa,1876,83089
18,Jijel,1876,79882
19,Sétif,1876,169060
20,Saïda,1876,39870
21,Skikda,1876,104928
22,Sidi Bel Abbès,1876,75260
23,Annaba,1876,76938
24,Guelma,1876,59884
25,Constantine,1876,112256
26,Médéa,1876,110272
27,Mostaganem,1876,85442
28,M'Sila,1876,102637
29,Mascara,1876,95388
30,Ouargla,1876,48591
31,Oran,1876,155365
32,El Bayadh,1876,26354
33,Illizi,1876,3338
34,Bordj Bou Arreridj,1876,72711
35,Boumerdès,1876,109636
36,El Tarf,1876,46920
37,Tindouf,1876,2769
38,Tissemsilt,1876,38565
39,El Oued,1876,64322
40,Khenchela,1876,41309
41,Souk Ahras,1876,50547
42,Tipaza,1876,104258
43,Mila,1876,86615
44,Aïn Defla,1876,90879
45,Naâma,1876,19127
46,Aïn Témouchent,1876,46007
47,Ghardaia,1876,36601
48,Relizane,1876,92380
1,Adrar,1877,37350
2,Chlef,1877,117031
3,Laghouat,1877,37049
4,Oum El Bouaghi,1877,69332
5,Batna,1877,130347
6,Béjaïa,1877,120121
7,Biskra,1877,73900
8,Béchar,1877,31662
9,Blida,1877,121291
10,Bouira,1877,90471
11,Tamanrasset,1877,16222
12,Tébessa,1877,70474
13,Tlemcen,1877,121806
14,Tiaret,1877,98964
15,Tizi Ouzou,1877,160382
16,Algiers,1877,290560
17,Djelfa,1877,84407
18,Jijel,1877,81149
19,Sétif,1877,171742
20,Saïda,1877,40502
21,Skikda,1877,106593
22,Sidi Bel Abbès,1877,76454
23,Annaba,1877,78159
24,Guelma,1877,60834
25,Constantine,1877,114037
26,Médéa,1877,112021
27,Mostaganem,1877,86798
28,M'Sila,1877,104266
29,Mascara,1877,96901
30,Ouargla,1877,49362
31,Oran,1877,157830
32,El Bayadh,1877,26772
33,Illizi,1877,3391
34,Bordj Bou Arreridj,1877,73865
35,Boumerdès,1877,111375
36,El Tarf,1877,47664
37,Tindouf,1877,2813
38,Tissemsilt,1877,39177
39,El Oued,1877,65342
40,Khenchela,1877,41965
41,Souk Ahras,1877,51349
42,Tipaza,1877,105912
43,Mila,1877,87990
44,Aïn Defla,1877,92321
45,Naâma,1877,19431
46,Aïn Témouchent,1877,46737
47,Ghardaia,1877,37182
48,Relizane,1877,93846
1,Adrar,1878,37933
2,Chlef,1878,118858
3,Laghouat,1878,37628
4,Oum El Bouaghi,1878,70415
5,Batna,1878,132383
6,Béjaïa,1878,121998
7,Biskra,1878,75055
8,Béchar,1878,32157
9,Blida,1878,123185
10,Bouira,1878,91884
11,Tamanrasset,1878,16475
12,Tébessa,1878,71575
13,Tlemcen,1878,123708
14,Tiaret,1878,100510
15,Tizi Ouzou,1878,162887
16,Algiers,1878,295098
17,Djelfa,1878,85725
18,Jijel,1878,82417
19,Sétif,1878,174424
20,Saïda,1878,41135
21,Skikda,1878,108257
22,Sidi Bel Abbès,1878,77648
23,Annaba,1878,79380
24,Guelma,1878,61784
25,Constantine,1878,115818
26,Médéa,1878,113771
27,Mostaganem,1878,88153
28,M'Sila,1878,105894
29,Mascara,1878,98415
30,Ouargla,1878,50133
31,Oran,1878,160295
32,El Bayadh,1878,27190
33,Illizi,1878,3444
34,Bordj Bou Arreridj,1878,75018
35,Boumerdès,1878,113115
36,El Tarf,1878,48408
37,Tindouf,1878,2857
38,Tissemsilt,1878,39789
39,El Oued,1878,66363
40,Khenchela,1878,42620
41,Souk Ahras,1878,52151
42,Tipaza,1878,107566
43,Mila,1878,89364
44,Aïn Defla,1878,93763
45,Naâma,1878,19734
46,Aïn Témouchent,1878,47467
47,Ghardaia,1878,37763
48,Relizane,1878,95312
1,Adrar,1879,38517
2,Chlef,1879,120686
3,Laghouat,1879,38206
4,Oum El Bouaghi,1879,71498
5,Batna,1879,134418
6,Béjaïa,1879,123874
7,Biskra,1879,76209
8,Béchar,1879,32651
9,Blida,1879,125080
10,Bouira,1879,93297
11,Tamanrasset,1879,16728
12,Tébessa,1879,72675
13,Tlemcen,1879,125611
14,Tiaret,1879,102055
15,Tizi Ouzou,1879,165391
16,Algiers,1879,299636
17,Djelfa,1879,87044
18,Jijel,1879,83684
19,Sétif,1879,177107
20,Saïda,1879,41767
21,Skikda,1879,109922
22,Sidi Bel Abbès,1879,78842
23,Annaba,1879,80600
24,Guelma,1879,62735
25,Constantine,1879,117599
26,Médéa,1879,115520
27,Mostaganem,1879,89509
28,M'Sila,1879,107522
29,Mascara,1879,99928
30,Ouargla,1879,50904
31,Oran,1879,162760
32,El Bayadh,1879,27608
33,Illizi,1879,3497
34,Bordj Bou Arreridj,1879,76172
35,Boumerdès,1879,114854
36,El Tarf,1879,49153
37,Tindouf,1879,2901
38,Tissemsilt,1879,40401
39,El Oued,1879,67383
40,Khenchela,1879,43275
41,Souk Ahras,1879,52953
42,Tipaza,1879,109220
43,Mila,1879,90738
44,Aïn Defla,1879,95205
45,Naâma,1879,20038
46,Aïn Témouchent,1879,48197
47,Ghardaia,1879,38343
48,Relizane,1879,96777
1,Adrar,1880,39100
2,Chlef,1880,122514
3,Laghouat,1880,38785
4,Oum El Bouaghi,1880,72580
5,Batna,1880,136454
6,Béjaïa,1880,125750
7,Biskra,1880,77363
8,Béchar,1880,33146
9,Blida,1880,126974
10,Bouira,1880,94710
11,Tamanrasset,1880,16982
12,Tébessa,1880,73776
13,Tlemcen,1880,127513
14,Tiaret,1880,103601
15,Tizi Ouzou,1880,167896
16,Algiers,1880,304174
17,Djelfa,1880,88362
18,Jijel,1880,84952
19,Sétif,1880,179789
20,Saïda,1880,42400
21,Skikda,1880,111587
22,Sidi Bel Abbès,1880,80036
23,Annaba,1880,81821
24,Guelma,1880,63685
25,Constantine,1880,119380
26,Médéa,1880,117270
27,Mostaganem,1880,90864
28,M'Sila,1880,109151
29,Mascara,1880,101441
30,Ouargla,1880,51675
31,Oran,1880,165224
32,El Bayadh,1880,28026
33,Illizi,1880,3550
34,Bordj Bou Arreridj,1880,77325
35,Boumerdès,1880,116593
36,El Tarf,1880,49897
37,Tindouf,1880,2944
38,Tissemsilt,1880,41012
39,El Oued,1880,68404
40,Khenchela,1880,43931
41,Souk Ahras,1880,53755
42,Tipaza,1880,110874
43,Mila,1880,92112
44,Aïn Defla,1880,96647
45,Naâma,1880,20341
46,Aïn Témouchent,1880,48927
47,Ghardaia,1880,38924
48,Relizane,1880,98243
1,Adrar,1881,39683
2,Chlef,1881,124342
3,Laghouat,1881,39363
4,Oum El Bouaghi,1881,73663
5,Batna,1881,138490
6,Béjaïa,1881,127626
7,Biskra,1881,78517
8,Béchar,1881,33640
9,Blida,1881,128868
10,Bouira,1881,96123
11,Tamanrasset,1881,17235
12,Tébessa,1881,74877
13,Tlemcen,1881,129415
14,Tiaret,1881,105146
15,Tizi Ouzou,1881,170401
16,Algiers,1881,308712
17,Djelfa,1881,89680
18,Jijel,1881,86219
19,Sétif,1881,182471
